func	unit	status	len_err	diffs	flags	needs_guard
func_8002F9D4	read_stream_u16le_call_8002ee5c	MATCH	0	0	-G8 -msplit-addresses	
func_8002FA28	set_state_triple_1_5_8	MATCH	0	0	-G8 -mno-split-addresses -fno-delayed-branch	
func_8002FA54	func_8002FA54	MATCH	0	0	-G8	
func_8002FB78	func_8002FB78	MATCH	0	0	-G0 -mno-split-addresses	
func_8002FD10	func_8002FD10	STUB				
func_8002FED0	func_8002FED0	MATCH	0	0	-G8	
func_8002FED8	func_8002FED8	MATCH	0	0	-G8	
func_8002FFD4	dispatch_active_records	MATCH	0	0	-G8	
func_80030050	stream_read_byte	MATCH	0	0	-G8	
func_8003006C	stream_read_u16le	MATCH	0	0	-G8	
func_80030090	set_obj_fields_12_13_14	MATCH	0	0	-G0 -msplit-addresses	
func_800300AC	set_obj_fields_12_13_14_v128	MATCH	0	0	-G0 -msplit-addresses	
func_800300C8	func_800300C8	MATCH	0	0	-G8	
func_80030198	init_duel_field_state	MATCH	0	0	-G8 -msplit-addresses	
func_80030250	init_800eb2c0_fields_from_args	MATCH	0	0	-G8 -msplit-addresses	
func_80030294	func_80030294	STUB				
func_800307B8	func_800307B8	MATCH	0	0	-G8 -msplit-addresses	
func_80030998	func_80030998	STUB				
func_80030C10	func_80030C10	MATCH	0	0	-G8 -mno-split-addresses	
func_80030CB0	guarded_init_and_poll_result	MATCH	0	0	-G8 -mno-split-addresses	
func_80030D5C	func_80030D5C	MATCH	0	0	-G8 -mno-split-addresses	
func_80030E30	mask_test_call_800eb2eb_state3	MATCH	0	0	-G8 -mno-split-addresses	
func_80030E7C	mask_test_call_800eb2eb_state4	MATCH	0	0	-G8 -mno-split-addresses	
func_80030EC8	arm_state_call_8003fcd8_dispatch	MATCH	0	0	-G8 -mno-split-addresses	
func_80030F40	func_80030F40	MATCH	0	0	-G0 -mno-split-addresses	
func_80030F80	call_80033c90_wrapper	MATCH	0	0	-G8	
func_80030FA0	func_80030FA0	OK	0	4	-G8 -msplit-addresses	
func_80030FD0	func_80030FD0	OK	4	4	-G8	
func_80031000	arm_state_call_8003fd14_dispatch	MATCH	0	0	-G8 -mno-split-addresses	
func_80031078	func_80031078	MATCH	0	0	-G8	
func_8003134C	func_8003134C	MATCH	0	0	-G8	
func_80031354	func_80031354	MATCH	0	0	-G8	
func_800313E8	func_800313E8	MATCH	0	0	-G8 -msplit-addresses	
func_80031574	func_80031574	MATCH	0	0	-G8 -msplit-addresses	
func_800316F0	func_800316F0	MATCH	0	0	-G8 -msplit-addresses	
func_80031784	gsortfastsprite_ring_draw	MATCH	0	0	-G8 -msplit-addresses	
func_80031874	func_80031874	STUB				
func_80031CD4	func_80031CD4	MATCH	0	0	-G0 -mno-split-addresses	
func_80031E04	call_31cd4_loop	MATCH	0	0	-G8 -msplit-addresses	
func_80031E5C	func_80031E5C	MATCH	0	0	-G8 -msplit-addresses	
func_80031EE4	func_80031EE4	MATCH	0	0	-G8 -msplit-addresses	
func_80031F7C	release_last_id_entry	MATCH	0	0	-G8	
func_8003201C	build_id_histogram_and_leading_count	MATCH	0	0	-G8	
func_800320BC	func_800320BC	MATCH	0	0	-G8 -msplit-addresses	
func_80032184	func_80032184	OK	0	3	-G0 -mno-split-addresses	
func_80032328	call_14e1c_137e4	MATCH	0	0	-G8 -msplit-addresses	
func_80032370	dedupe_handle_slots	MATCH	0	0	-G8 -msplit-addresses	
